student_id,course_code
828036,1698
828036,1699
828036,6757
828036,4161
828036,4162
828036,6758
828036,1165
828036,1166
828036,8796
828036,8797
828036,6775
828036,6777
828036,6941
828036,6942
280131,7113
280131,7123
280131,7133
280131,7163
280131,4510
280131,1167
280131,1168
280131,4509
606467,6221
606467,6222
606467,233
606467,234
606467,5330
606467,5331
606467,1653
606467,1654
606467,6757
606467,6758
606467,1745
606467,1746
606467,6311
606467,6312
606467,8155
594594,7113
594594,7123
594594,7133
594594,7163
101379,4163
101379,8155
101379,4164
101379,2321
101379,2322
101379,2323
101379,2324
101379,1698
101379,1699
101379,6757
101379,6758
101379,1745
101379,1746
101379,8155
403450,7113
403450,7123
403450,7133
403450,7163
415518,6311
415518,6312
415518,1746
415518,1745
415518,2322
415518,2321
415518,2323
415518,2324
415518,1698
415518,1699
415518,6757
415518,6758
415518,4046
415518,4047
415518,4189
415518,4190
359972,4046
359972,231
359972,232
359972,233
359972,234
359972,6757
359972,6758
359972,8490
359972,8491
359972,4047
359972,1699
359972,1698
359972,8796
359972,8797
190102,4163
190102,4164
190102,6311
190102,6312
190102,4046
190102,5325
190102,5326
190102,5371
190102,5372
190102,5332
190102,5333
190102,6757
190102,6758
190102,4047
190102,1699
190102,1698
190102,1745
190102,1746
190102,8155
512050,8027_2
843342,2322
843342,2321
568327,4159
568327,4160
568327,4765
568327,4766
568327,6311
568327,6312
568327,4505
568327,4506
568327,3651
568327,3652
568327,6605
568327,6606
568327,1570
568327,1571
568327,1415
568327,1416
505683,4161
505683,4162
505683,6211
505683,6212
505683,1589
505683,1590
505683,8227
505683,8228
505683,2323
505683,2324
505683,8294
505683,6701
505683,6702
505683,8293
505683,8432
505683,8433
946170,2333
946170,2334
946170,5050
946170,5051
946170,1653
946170,1654
946170,6757
946170,6758
946170,1154
946170,1155
946170,1745
946170,1746
946170,4220
946170,4251
379044,4766
379044,4159
379044,4765
379044,4160
379044,1415
379044,1416
379044,6311
379044,6312
379044,4505
379044,4506
379044,5050
379044,5051
379044,6605
379044,6606
379044,1570
379044,1571
335340,2345
335340,2346
335340,1570
335340,1571
335340,4167
335340,4168
335340,4169
335340,4170
335340,3651
335340,3652
335340,1416
335340,1415
335340,6311
335340,6605
335340,6606
335340,6312
246921,1540
246921,1541
246921,4158
246921,4763
246921,4764
246921,6111
246921,6112
246921,6121
246921,6122
246921,5503
246921,5504
246921,5702
246921,6240
246921,6241
246921,8207
246921,8208
246921,4157
246921,5701
672320,3705
672320,3706
672320,1540
672320,1541
672320,8207
672320,8208
672320,4764
672320,6111
672320,6112
672320,5504
672320,5701
672320,5503
672320,5702
672320,4157
672320,4158
672320,4763
432890,8027_2
290930,3705
290930,3706
290930,1540
290930,1541
290930,8207
290930,8208
